scenario_id,text_id,domain_label,domain_group,source_type,provider,model_name,text,authenticity_mean,emotional_plausibility_mean,specificity_mean,machine_guess_rate,mage_machine_prob,mage_human_prob,word_count,sentence_count,avg_sentence_length,type_token_ratio,first_person_rate,object_word_rate,generated_flag
scenario_01,B-grief-d1-v1,Bereavement (death of loved one),bereavement,human,human,human,"The kitchen counter still had the grocery list in his handwriting. Bananas, milk, the kind of bread she never liked. She opened the refrigerator and found the leftovers he'd portioned into containers, labeled with days of the week. Thursday's container was still full. It was now Sunday. She closed the door and stood in the room where everything was exactly where he had put it, and no one was going to move any of it, and no one was going to add to it, ever again.",5.0,5.0,5.0,0.0,0.9998548030853271,0.00014518250827677548,86,6,14.333333333333334,0.6511627906976745,0.0,0.08139534883720931,0
scenario_02,B-grief-d1-v2,Bereavement (death of loved one),bereavement,human,human,human,"The woman at the front desk asked her to sign for his personal effects. A watch. A wallet with eleven dollars. A bus pass that expired next month. She put them in her coat pocket, where they made almost no weight at all. Outside, the parking lot was the same parking lot from this morning. She stood next to the car for a while. There was no reason to be anywhere in particular. There was no one waiting.",5.0,5.0,4.5,0.0,0.9906789660453796,0.009320983663201332,78,9,8.666666666666666,0.717948717948718,0.0,0.07692307692307693,0
scenario_03,B-grief-d1-v3,Bereavement (death of loved one),bereavement,human,human,human,"His daughter had stopped answering the phone in complete sentences. When he called, she would say ""yeah"" or ""okay"" or nothing. The school sent a letter about attendance. He found the dog sitting by the back door again, in the same spot, facing the same direction, the way it had every evening for the last forty-seven days. He filled the water bowl and set it down. The dog looked at the door. He looked at the door. The yard was dark and empty and the gate had not opened.",5.0,5.0,5.0,0.0,0.0012996885925531387,0.9987002611160278,90,8,11.25,0.6777777777777778,0.0,0.07777777777777778,0
scenario_04,B-grief-d1-v4,Bereavement (death of loved one),bereavement,human,human,human,"They told her she could take the room whenever she was ready. She wasn't ready. She went in anyway. The sheets were still pressed into the shape of the body that had been there. A glass of water on the nightstand, half-finished. The television remote balanced on the arm of the chair. She picked up the water glass and held it. It was room temperature now. She drank the rest of it because there was nothing else she could do with it and because the mouth that had touched it would not touch anything again.",5.0,5.0,5.0,0.0,0.0001141326138167642,0.9998857975006104,96,9,10.666666666666666,0.625,0.0,0.09375,0
scenario_05,Bm-grief-d1-v1,Bereavement (death of loved one),bereavement,human,human,human,"Six months in, she had settled into most of the adjustments. The grocery list was hers now, the containers in the refrigerator were ones she had filled. But the cabinet above the stove still had his coffee — the brand she never drank, bought in bulk the last time he'd gone to the warehouse store. There were three bags left. She had been working through them slowly, one cup in the morning, not because she liked it but because when it was finished there would be no reason to open that cabinet again. She measured out the grounds and set the pot to brew.",5.0,5.0,5.0,0.0,0.9998425245285034,0.00015742756659165025,103,6,17.166666666666668,0.6990291262135923,0.0,0.038834951456310676,0
scenario_06,Bm-grief-d1-v2,Bereavement (death of loved one),bereavement,human,human,human,"The automated renewal notice came in the mail — his magazine subscription, addressed to him, the label printed months ago by a system that did not know. She had cancelled most of the accounts in January. This one she had missed, or perhaps she had left it. The magazine arrived every six weeks, slipped through the mail slot and onto the floor where it sat until she picked it up and placed it on the stack by his chair. The stack was five issues tall now. She added the renewal notice to the top and went to make lunch.",4.5,4.5,4.5,0.0,0.9997833371162415,0.0002166365593438968,98,6,16.333333333333332,0.6836734693877551,0.0,0.02040816326530612,0
scenario_07,B-grief-d2-v1,Career destruction (life's work lost),other_grief,human,human,human,"The lab was empty now. Twenty-two years of research. The server room had been cleared by facilities before she'd arrived Monday morning. The backup drives weren't in the cabinet. She found a single Post-it note on the monitor: ""Assets transferred per Board directive, 2/14."" Her notebooks were still there — they hadn't taken paper. She opened one to a page of handwritten equations from 2009 and ran her finger along the margin where she'd drawn a small star next to the line that would have changed everything, and now never would.",4.5,5.0,5.0,0.0,0.0029369688127189875,0.9970629811286926,90,6,15.0,0.8222222222222222,0.0,0.03333333333333333,0
scenario_08,B-grief-d2-v2,Career destruction (life's work lost),other_grief,human,human,human,"The carpenter ran his hand along the doorframe of the shop. Thirty-one years. The auction company had tagged everything — the table saw, the planer, the chisels his father had given him, each one with a yellow sticker and a lot number. Someone would buy the tools for a price and use them or not use them. The workbench had a coffee ring from this morning. He pulled the chain on the overhead light and stood in the dark for a moment, then locked the door from the outside and put the key in an envelope addressed to the bank.",5.0,5.0,5.0,0.0,0.00028294845833443105,0.9997170567512512,100,6,16.666666666666668,0.69,0.0,0.05,0
scenario_09,B-grief-d2-v3,Career destruction (life's work lost),other_grief,human,human,human,"The orchestra had performed its final concert to an audience of thirty-four people. The music director collected the stand lights and wound the extension cords slowly, one loop at a time. The chairs were stacked against the wall. The city had reallocated the building. There was no season next year. There was no ensemble. Forty years of programs were in a filing cabinet in the hallway. He touched the lid of the piano and closed it, and the click of the latch was the last sound the hall would make as a concert hall.",4.5,4.5,5.0,0.0,0.9999510049819946,4.900883504888043e-05,95,8,11.875,0.6842105263157895,0.0,0.010526315789473684,0
scenario_10,B-grief-d3-v1,Relationship dissolution (abandonment),other_grief,human,human,human,"He found the key on the kitchen table. Not in the bowl by the door where she always left it, but centered on the table, placed there with intention. The closet was half-empty in a way that was precise — her things, only her things, selected and removed while he was at work. The hangers were still swinging slightly, or he imagined they were. The bathroom mirror had a square of fog from a shower taken hours ago. He sat down on the bed and noticed the indent on her side of the mattress was already starting to level.",4.5,5.0,5.0,0.0,0.9999635219573975,3.6534453101921827e-05,99,6,16.5,0.7070707070707071,0.0,0.08080808080808081,0
